Date,Hotel,Sales
2016-01-01,23,756729
2016-01-08,23,758196
2016-01-15,23,728408
2016-01-22,23,787146
2016-01-29,23,797220
2016-02-05,23,811512
2016-02-12,23,827339
2016-02-19,23,726658
2016-02-26,23,869869
2016-03-05,23,892669
2016-03-12,23,873839
2016-03-19,23,795216
2016-03-26,23,781693
2017-01-01,23,743345
2017-01-08,23,705866
2017-01-15,23,802210
2017-01-22,23,787439
2017-01-29,23,785059
2017-02-05,23,819106
2017-02-12,23,813591
2017-02-19,23,844962
2017-02-26,23,870419
2017-03-05,23,914731
2017-03-12,23,806691
2017-03-19,23,884513
2017-03-26,23,866531
2018-01-01,23,728017
2018-01-08,23,780792
2018-01-15,23,737830
2018-01-22,23,802544
2018-01-29,23,782960
2018-02-05,23,820516
2018-02-12,23,843680
2018-02-19,23,735061
2018-02-26,23,868099
2018-03-05,23,916165
2018-03-12,23,934657
2018-03-19,23,856999
2018-03-26,23,836167
