Date,Hotel,Sales
2016-01-01,21,497433
2016-01-01,22,507554
2016-01-01,23,756729
2016-01-01,24,715910
2016-01-01,25,1158284
2016-01-01,26,550185
2016-01-01,27,984948
2016-01-01,28,339843
2016-01-01,29,1467641
2016-01-01,30,466864
2016-01-01,59,375196
2016-01-08,21,471576
2016-01-08,22,520236
2016-01-08,23,758196
2016-01-08,24,703500
2016-01-08,25,1104108
2016-01-08,26,562065
2016-01-08,27,965048
2016-01-08,28,360224
2016-01-08,29,1414187
2016-01-08,30,440354
2016-01-08,59,355897
2016-01-15,21,443125
2016-01-15,22,475559
2016-01-15,23,728408
2016-01-15,24,646767
2016-01-15,25,1038355
2016-01-15,26,525162
2016-01-15,27,898549
2016-01-15,28,386185
2016-01-15,29,1325184
2016-01-15,30,431780
2016-01-15,59,337961
2016-01-22,21,493939
2016-01-22,22,511246
2016-01-22,23,787146
2016-01-22,24,695197
2016-01-22,25,1131746
2016-01-22,26,563491
2016-01-22,27,937884
2016-01-22,28,453669
2016-01-22,29,1517077
2016-01-22,30,471767
2016-01-22,59,362579
2016-01-29,21,482563
2016-01-29,22,504016
2016-01-29,23,797220
2016-01-29,24,698461
2016-01-29,25,1127289
2016-01-29,26,536122
2016-01-29,27,915284
2016-01-29,28,482938
2016-01-29,29,1450086
2016-01-29,30,460515
2016-01-29,59,339167
2016-02-05,21,564957
2016-02-05,22,543242
2016-02-05,23,811512
2016-02-05,24,743555
2016-02-05,25,1203005
2016-02-05,26,553713
2016-02-05,27,934071
2016-02-05,28,571091
2016-02-05,29,1592017
2016-02-05,30,498118
2016-02-05,59,345329
2016-02-12,21,626379
2016-02-12,22,570814
2016-02-12,23,827339
2016-02-12,24,868397
2016-02-12,25,1246071
2016-02-12,26,568681
2016-02-12,27,958366
2016-02-12,28,740039
2016-02-12,29,1525169
2016-02-12,30,529447
2016-02-12,59,374084
2016-02-19,21,582190
2016-02-19,22,506150
2016-02-19,23,726658
2016-02-19,24,790069
2016-02-19,25,1064345
2016-02-19,26,508006
2016-02-19,27,825057
2016-02-19,28,719916
2016-02-19,29,1332094
2016-02-19,30,446432
2016-02-19,59,340063
2016-02-26,21,751147
2016-02-26,22,642712
2016-02-26,23,869869
2016-02-26,24,880028
2016-02-26,25,1459933
2016-02-26,26,630287
2016-02-26,27,1046801
2016-02-26,28,1222861
2016-02-26,29,1619712
2016-02-26,30,575042
2016-02-26,59,448747
2016-03-05,21,748373
2016-03-05,22,624598
2016-03-05,23,892669
2016-03-05,24,825478
2016-03-05,25,1494142
2016-03-05,26,590040
2016-03-05,27,1023253
2016-03-05,28,1490455
2016-03-05,29,1517944
2016-03-05,30,614564
2016-03-05,59,416171
2016-03-12,21,991893
2016-03-12,22,732833
2016-03-12,23,873839
2016-03-12,24,908714
2016-03-12,25,1474721
2016-03-12,26,590464
2016-03-12,27,980333
2016-03-12,28,2061291
2016-03-12,29,1591297
2016-03-12,30,633604
2016-03-12,59,400812
2016-03-19,21,1177551
2016-03-19,22,768197
2016-03-19,23,795216
2016-03-19,24,990089
2016-03-19,25,1451067
2016-03-19,26,604205
2016-03-19,27,979115
2016-03-19,28,2349408
2016-03-19,29,1573197
2016-03-19,30,621183
2016-03-19,59,393667
2016-03-26,21,1276415
2016-03-26,22,798464
2016-03-26,23,781693
2016-03-26,24,997266
2016-03-26,25,1471593
2016-03-26,26,601432
2016-03-26,27,1014415
2016-03-26,28,2348492
2016-03-26,29,1579986
2016-03-26,30,656643
2016-03-26,59,385650
2017-01-01,21,470224
2017-01-01,22,511698
2017-01-01,23,743345
2017-01-01,24,684969
2017-01-01,25,1153588
2017-01-01,26,556602
2017-01-01,27,933976
2017-01-01,28,355643
2017-01-01,29,1536821
2017-01-01,30,459346
2017-01-01,59,371500
2017-01-08,21,444669
2017-01-08,22,498022
2017-01-08,23,705866
2017-01-08,24,617419
2017-01-08,25,1104040
2017-01-08,26,536007
2017-01-08,27,908250
2017-01-08,28,407703
2017-01-08,29,1427598
2017-01-08,30,435958
2017-01-08,59,364836
2017-01-15,21,497735
2017-01-15,22,537849
2017-01-15,23,802210
2017-01-15,24,693432
2017-01-15,25,1176136
2017-01-15,26,553685
